Incident Date,Incident Name,Category,Target Industry,Attack Vector,Attributed Actor Type,Impacted Entities,Financial Cost,APT vs Opportunistic,Source,Source URL,Notes,MITRE ATT&CK ID,Attack Technique,Attack Behavior,Attack Indicator,Artifact,Detection Method,Time to Detect,Detection Coverage,Incident Failure Point,Compliance Status,Contingency/Backup Plan,Disruption Type,Business Impact
2020-05-20,PyPI (10/16/2020),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,PyPI,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.iqt.org/pypi-scan/,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against PyPI (10/16/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-05-28,Github (5/28/2020),Software Supply Chain,Technology/Software,Build system compromise,Unknown / Not attributed,Github,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://securitylab.github.com/research/octopus-scanner-malware-open-source-supply-chain,IQT/Breaking Trust dataset. The malware's end goal was to install a remote access trojan and grant hackers access to highly sensitive workstations were sensitive projects were being developed.,T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Attacker leveraged build system compromise against Github (5/28/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002 based on the reported vector.,signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,Trojanized legitimate installer/update package,Third-party security research,Unknown,Unknown,Build system integrity,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting Github; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-06-01,Able Desktop chat software compromise,Software Supply Chain,Government/Business Software,Delivery system compromise; Update mechanism compromise; Code injection,APT (TA428),Able; customers with infected devices,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Backend compromised; malware added to Able Desktop update,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged delivery system compromise; update mechanism compromise; code injection against Able Desktop chat software compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT (TA428). Mapped to T1195.002, T1059 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence; exploit attempts in application logs; unexpected web shells or child processes,Trojanized legitimate installer/update package,Internal monitoring,Unknown,Unknown,Update channel integrity; Software delivery channel integrity; Code review and artifact integrity,Government incident reporting/advisory (CISA or national CERT),Unknown,Malicious code injection,Malicious code injection affecting Able; customers with infected devices; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-06-01,Aisino intelligent tax software suite,Software Supply Chain,Tax/Government Software,Unknown (software compromised),Unknown / Not attributed,Aisino Credit Information Company; businesses in China,Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Tax software suite found to include malware; method of compromise unknown,T1195,Supply Chain Compromise,Attacker leveraged unknown (software compromised) against Aisino intelligent tax software suite to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195 based on the reported vector.,anomalous change to a trusted third-party component; unexpected outbound network activity,Not publicly detailed,Internal monitoring,Unknown,Unknown,Third-party trust chain validation,Government incident reporting/advisory (CISA or national CERT),Unknown,Service disruption,Service disruption affecting Aisino Credit Information Company; businesses in China; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-06-08,Honda Snake/EKANS ransomware production halt,Physical/Operational Supply Chain,Automotive Manufacturing,Ransomware (ICS-aware); Internet-exposed remote access,Cybercriminal / Unknown operator (Snake/EKANS),"Honda global IT network; plants in Ohio, Turkey, India, Brazil; customer service and financial services systems",Not disclosed (multi-day production loss across several plants),Opportunistic,BBC / Dragos EKANS analysis,https://www.bbc.com/news/technology-52982427,"Snake/EKANS samples referenced Honda-specific internal hostnames, indicating targeted deployment against OT-adjacent IT",T1486 + T1489 + T1133,Data Encrypted for Impact; Service Stop; External Remote Services,"Operators deployed Snake/EKANS ransomware configured with Honda-specific internal domain references; the malware killed industrial and database processes before encrypting files, disrupting the IT systems that feed manufacturing operations.",EKANS sample containing internal Honda hostname/domain check; mass termination of ICS-related and database services; unreachable internal servers; halted production-line scheduling,Snake/EKANS ransomware,Internal detection via production and network failures (plants unable to reach internal systems),Unknown pre-encryption dwell; impact detected within hours of encryption,Partial,IT/OT segmentation - manufacturing-dependent IT services reachable from a compromised enterprise network,Not reported (public statements only; no regulatory action disclosed),"Manual fallback and staged restoration used; most plants resumed within days, one US plant remained down longer",Operational shutdown,"Vehicle and motorcycle production was suspended at multiple international plants and customer service/financial services systems were taken offline, with most sites restarting within one to several days."
2020-06-18,Chrome Web Store (6/18/2020),Software Supply Chain,Mobile/Consumer Software,Malicious package,Unknown / Not attributed,Chrome Web Store; 111 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://awakesecurity.com/blog/the-internets-new-arms-dealers-malicious-domain-registrars/; https://github.com/greatsuspender/thegreatsuspender/issues/1263,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against Chrome Web Store (6/18/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting Chrome Web Store; 111 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-06-25,Golden Tax (6/25/2020),Software Supply Chain,Technology/Software,Delivery system compromise,Unknown / Not attributed,Golden Tax,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.trustwave.com/en-us/resources/blogs/spiderlabs-blog/the-golden-tax-department-and-the-emergence-of-goldenspy-malware/,IQT/Breaking Trust dataset,T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Attacker leveraged delivery system compromise against Golden Tax (6/25/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002 based on the reported vector.,anomalous change to a trusted third-party component; unexpected outbound network activity,Not publicly detailed,Internal monitoring,Unknown,Unknown,Software delivery channel integrity,Not reported,Unknown,Service disruption,Service disruption affecting Golden Tax; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-07-01,Ledger hardware wallet data breach,Software Supply Chain,Cryptocurrency/Hardware,Credential compromise; Data exfiltration,Unknown / Not attributed,Ledger; users; customers whose data was leaked; phishing/extortion victims,Not available,Opportunistic,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,E-commerce database credentials stolen; data published online; phishing and extortion,T1078 + T1552 + T1567,Valid Accounts; Unsecured Credentials; Exfiltration Over Web Service,"Attacker leveraged credential compromise; data exfiltration against Ledger hardware wallet data breach to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1078, T1552, T1567 based on the reported vector.",logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,Not publicly detailed,Unknown,Unknown,Unknown,Credential management; Data loss prevention and egress monitoring,Financial regulator notification likely required,Unknown,Credential theft,Credential theft affecting Ledger; users; customers whose data was leaked; phishing/extortion victims; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-07-07,CDATA OLT (7/7/2020),Software Supply Chain,Technology/Software,Firmware implant,Unknown / Not attributed,CDATA OLT,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://pierrekim.github.io/blog/2020-07-07-cdata-olt-0day-vulnerabilities.html,IQT/Breaking Trust dataset,T1195.003,Supply Chain Compromise: Compromise Hardware Supply Chain,Attacker leveraged firmware implant against CDATA OLT (7/7/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.003 based on the reported vector.,unexpected pre-installed applications or persistent system components on shipped devices,Pre-installed firmware/OS-level implant,Third-party security research,Unknown,Unknown,Hardware/firmware provenance verification,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting CDATA OLT; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-07-09,Google Play Store (7/9/2020),Software Supply Chain,Mobile/Consumer Software,Malicious package,Unknown / Not attributed,Google Play Store; 11 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://research.checkpoint.com/2020/new-joker-variant-hits-google-play-with-an-old-trick/; https://www.zdnet.com/article/google-removes-17-android-apps-doing-wap-billing-fraud-from-the-play-store/,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against Google Play Store (7/9/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting Google Play Store; 11 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-07-23,Garmin WastedLocker ransomware (Evil Corp),Physical/Operational Supply Chain,Consumer Electronics/Aviation Navigation Services,Credential compromise; Lateral movement; Ransomware,"Cybercriminal (Evil Corp / INDRIK SPIDER, OFAC-sanctioned)",Garmin Connect users worldwide; flyGarmin/Garmin Pilot aviation database services; call centers; production lines,Reported ~$10M ransom paid (unconfirmed by Garmin),Opportunistic,BleepingComputer / Sky News reporting; CrowdStrike Evil Corp research,https://www.bleepingcomputer.com/news/security/garmin-outage-caused-by-confirmed-wastedlocker-ransomware-attack/,Multi-day global outage of Garmin Connect; OFAC sanctions on Evil Corp created legal exposure around the payment,T1486 + T1059.001 + T1003 + T1189,Data Encrypted for Impact; Command and Scripting Interpreter: PowerShell; OS Credential Dumping; Drive-by Compromise,"Evil Corp gained a foothold via a fake-update/drive-by chain (SocGholish-style), used Cobalt Strike and PowerShell for lateral movement and Mimikatz-style credential dumping, disabled security tooling, then detonated WastedLocker across servers and workstations.",'.garminwasted' encrypted-file extension and matching ransom notes; Cobalt Strike beacons; PsExec/PowerShell mass execution; abrupt failure of Garmin Connect sync APIs,WastedLocker ransomware; Cobalt Strike; Mimikatz; PsExec,Internal monitoring plus customer-facing service failure (global Garmin Connect outage and support-line collapse),~1 month of pre-encryption dwell time; encryption itself detected same day,No,Endpoint and lateral-movement controls - flat internal network with insufficient privileged-credential segmentation,OFAC sanctions exposure for paying an Evil Corp-linked actor; FAA-regulated aviation database service disruption reported,Backups insufficient for rapid restoration at scale; a decryptor was reportedly obtained via a ~$10M payment brokered through a third party,Operational shutdown,"Garmin Connect, flyGarmin, Garmin Pilot, call centers and some Taiwan production lines were down for several days, blocking pilot navigation-database updates and consumer fitness sync worldwide."
2020-07-31,PyPI (8/4/2020),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,PyPI,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://medium.com/@vuducly151092/analyzing-the-python-typosquatting-malicious-request-package-e80aeda925b0,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against PyPI (8/4/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting PyPI; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-08-01,"JFrog Artifactory, pip, npm, gem (2/9/2021)",Software Supply Chain,Open Source/Package Registry,Build system compromise; Typosquatting,Unknown / Not attributed,"JFrog Artifactory, pip, npm, gem; 35 packages/instances affected",Not available,Other/Unknown,Atlantic Council Breaking Trust,https://medium.com/@alex.birsan/dependency-confusion-4a5d60fec610,IQT/Breaking Trust dataset,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged build system compromise; typosquatting against JFrog Artifactory, pip, npm, gem (2/9/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Build system integrity; Package registry verification,Not reported,Unknown,Malicious code injection,"Malicious code injection affecting JFrog Artifactory, pip, npm, gem; 35 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users."
2020-08-17,npm (9/30/2020),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,npm; 4 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.sonatype.com/sonatype-spots-malicious-npm-packages,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against npm (9/30/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 4 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-08-18,npm (8/25/2020),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,npm,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.npmjs.com/advisories/1552,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against npm (8/25/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-10-01,The Great Suspender Chrome extension,Software Supply Chain,Browser Extensions/Consumer Software,Malicious maintainer; Code injection,Unknown / Not attributed,2 million+ Chrome extension users,Not available,Opportunistic,CNCF TAG Security Catalog,https://github.com/greatsuspender/thegreatsuspender/issues/1263,Extension sold to unknown entity who injected tracking/malicious code,T1195.001 + T1059,Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Command and Scripting Interpreter,"Attacker leveraged malicious maintainer; code injection against The Great Suspender Chrome extension to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001, T1059 based on the reported vector.",exploit attempts in application logs; unexpected web shells or child processes,Not publicly detailed,Third-party security research,Unknown,Unknown,Maintainer trust and release review; Code review and artifact integrity,Not reported,Unknown,Malicious code injection,Malicious code injection affecting 2 million+ Chrome extension users; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
